candidate,in_library,pearson,spearman
5-day MIN of Volume,5-day SMA of Volume,0.968852474167867,0.968031854463752
5-day MIN of Volume,20-day SMA of Volume,0.9431279881655743,0.9515387598927043
5-day MIN of Volume,5-day STD of Volume,0.7644907960056827,0.8056182464531069
5-day MIN of Volume,10-day STD of Volume,0.8513703666212467,0.8641547963796282
5-day MIN of Volume,20-day STD of Volume,0.8771260010983326,0.8761740290743965
5-day STD of Volume over 20-day STD of Volume,5-day VWAP of Price,0.016536331521523416,0.027450481716520352
5-day STD of Volume over 20-day STD of Volume,20-day MAX of Price,0.01186880123521978,0.008830357227427789
5-day STD of Volume over 20-day STD of Volume,5-day MAX of Price,0.018146723055881605,0.031592706124645945
5-day STD of Volume over 20-day STD of Volume,20-day Momentum of Price,0.09161856072878585,0.12749723390213533
5-day STD of Volume over 20-day STD of Volume,5-day Simple Moving Average of Volume over 20-day Simple Moving Average of Volume,0.6019645476168988,0.6997587421258156
5-day STD of Volume over 20-day STD of Volume,5-day MOM of Volume,0.35732289093058667,0.35633117562368927
5-day STD of Volume over 20-day STD of Volume,20-day MIN of Price,0.014251545266181023,0.017957927259402633
5-day STD of Volume over 20-day STD of Volume,5-day MOM of Price,0.2713828288909563,0.28016526727729
5-day STD of Volume over 20-day STD of Volume,20-day MOM of Volume,0.10628108746949015,0.3142780257965375
5-day STD of Volume over 20-day STD of Volume,5-day SMA of Price,0.015495986452970482,0.024439543342233007
5-day STD of Volume over 20-day STD of Volume,10-day SMA of Volume,-0.002592186456267231,0.0056300865826040755
5-day STD of Volume over 20-day STD of Volume,10-day SMA of Price,0.013267490866292702,0.016837702770680536
5-day STD of Volume over 20-day STD of Volume,20-day SMA of Price,0.012654690090988494,0.012688658476098064
5-day STD of Volume over 20-day STD of Volume,5-day STD of Price,0.09633099507402837,0.18065650352305923
5-day STD of Volume over 20-day STD of Volume,10-day STD of Price,0.04426168326387241,0.07924264841503764
5-day STD of Volume over 20-day STD of Volume,20-day STD of Price,-0.010602565526285206,-0.0453458417953677
5-day STD of Volume over 20-day STD of Volume,5-day SMA of Volume,0.057695676735374304,0.11604374305627112
5-day STD of Volume over 20-day STD of Volume,20-day SMA of Volume,-0.04351270948998192,-0.08610599597431223
5-day STD of Volume over 20-day STD of Volume,5-day STD of Volume,0.2225613304360973,0.3915337334103862
5-day STD of Volume over 20-day STD of Volume,10-day STD of Volume,0.0651667771511751,0.10551985483773284
5-day STD of Volume over 20-day STD of Volume,20-day STD of Volume,-0.06187818965540975,-0.1377701728581966
5-day SMA of Price over 20-day SMA of Price,5-day VWAP of Price,0.03254429781383775,0.058472812319781006
5-day SMA of Price over 20-day SMA of Price,20-day MAX of Price,0.017253810157252192,0.013016301868753471
5-day SMA of Price over 20-day SMA of Price,5-day MAX of Price,0.03474807101254727,0.06059037333769862
5-day SMA of Price over 20-day SMA of Price,20-day Momentum of Price,0.8211428620131516,0.81206878524702
5-day SMA of Price over 20-day SMA of Price,5-day Simple Moving Average of Volume over 20-day Simple Moving Average of Volume,0.4809187432244516,0.45817909391623374
5-day SMA of Price over 20-day SMA of Price,5-day MOM of Volume,0.1519521413982207,0.07510072755145346
5-day SMA of Price over 20-day SMA of Price,20-day MIN of Price,0.0041446175559473105,0.0017042537424819758
5-day SMA of Price over 20-day SMA of Price,5-day MOM of Price,0.5023759803518335,0.44302854153724336
5-day SMA of Price over 20-day SMA of Price,20-day MOM of Volume,0.2391066969198165,0.3820608641982262
5-day SMA of Price over 20-day SMA of Price,5-day SMA of Price,0.03206336206671234,0.05606109862681608
5-day SMA of Price over 20-day SMA of Price,10-day SMA of Volume,0.13558791221953306,0.14369364404267684
5-day SMA of Price over 20-day SMA of Price,10-day SMA of Price,0.022951817726183953,0.036382936269632335
5-day SMA of Price over 20-day SMA of Price,20-day SMA of Price,0.008851279565462042,0.00507655507699595
5-day SMA of Price over 20-day SMA of Price,5-day STD of Price,0.11600812847039371,0.14494763917111164
5-day SMA of Price over 20-day SMA of Price,10-day STD of Price,0.11954354698314991,0.11456633159711298
5-day SMA of Price over 20-day SMA of Price,20-day STD of Price,0.09017586235359897,0.03774435996812539
5-day SMA of Price over 20-day SMA of Price,5-day SMA of Volume,0.17642639595635826,0.18502694178689033
5-day SMA of Price over 20-day SMA of Price,20-day SMA of Volume,0.059566593498755725,0.05098669780227911
5-day SMA of Price over 20-day SMA of Price,5-day STD of Volume,0.1815170497544462,0.22003584102299
5-day SMA of Price over 20-day SMA of Price,10-day STD of Volume,0.17700095537505267,0.20111414349174933
5-day SMA of Price over 20-day SMA of Price,20-day STD of Volume,0.10799715149592903,0.09253506895424803
20-day STD of Price over 20-day SMA of Price,5-day VWAP of Price,-0.0015171372106343461,0.0517558939190264
20-day STD of Price over 20-day SMA of Price,20-day MAX of Price,0.013799939291626906,0.09252969693703024
20-day STD of Price over 20-day SMA of Price,5-day MAX of Price,0.0033555588853556445,0.06171236024017212
20-day STD of Price over 20-day SMA of Price,20-day Momentum of Price,0.37409108496949844,0.09209664542336017
20-day STD of Price over 20-day SMA of Price,5-day Simple Moving Average of Volume over 20-day Simple Moving Average of Volume,0.14157403617626024,-0.0011950230538731723
20-day STD of Price over 20-day SMA of Price,5-day MOM of Volume,0.08035897945463588,-0.06267384222170738
20-day STD of Price over 20-day SMA of Price,20-day MIN of Price,-0.028353877079264116,0.0015236596001836878
20-day STD of Price over 20-day SMA of Price,5-day MOM of Price,0.12675879712756774,-0.005871338908837223
20-day STD of Price over 20-day SMA of Price,20-day MOM of Volume,0.2663561367191499,0.11155162457096088
20-day STD of Price over 20-day SMA of Price,5-day SMA of Price,-0.0015793750576609047,0.050461215345020474
20-day STD of Price over 20-day SMA of Price,10-day SMA of Volume,0.19895306885253114,0.3446807184110955
20-day STD of Price over 20-day SMA of Price,10-day SMA of Price,-0.0036991834232897114,0.0492079259771763
20-day STD of Price over 20-day SMA of Price,20-day SMA of Price,-0.008090086635836597,0.04607632694516041
20-day STD of Price over 20-day SMA of Price,5-day STD of Price,0.14580303835727387,0.3186178051891004
20-day STD of Price over 20-day SMA of Price,10-day STD of Price,0.1963563716543143,0.40744076814289126
20-day STD of Price over 20-day SMA of Price,20-day STD of Price,0.2602532930991071,0.5303770329206925
20-day STD of Price over 20-day SMA of Price,5-day SMA of Volume,0.19975799188207022,0.3303375948745779
20-day STD of Price over 20-day SMA of Price,20-day SMA of Volume,0.17013597166804006,0.33968512600428513
20-day STD of Price over 20-day SMA of Price,5-day STD of Volume,0.1743485672162143,0.303854253271445
20-day STD of Price over 20-day SMA of Price,10-day STD of Volume,0.21260937976002856,0.3553005452871019
20-day STD of Price over 20-day SMA of Price,20-day STD of Volume,0.23498811327031363,0.39936077604072523
[对照] 20-day MAX of Volume,5-day VWAP of Price,-0.08429119674277182,-0.32266337115601584
[对照] 20-day MAX of Volume,20-day MAX of Price,-0.08363307758077128,-0.3077752855808977
[对照] 20-day MAX of Volume,5-day MAX of Price,-0.08380442704582933,-0.31717258983307106
[对照] 20-day MAX of Volume,20-day Momentum of Price,0.11354487636954032,0.1341730620298214
[对照] 20-day MAX of Volume,5-day Simple Moving Average of Volume over 20-day Simple Moving Average of Volume,0.030608421732260326,-0.03691091064480125
[对照] 20-day MAX of Volume,5-day MOM of Volume,0.028132586651163086,-0.040048748370436135
[对照] 20-day MAX of Volume,20-day MIN of Price,-0.08707498285490964,-0.34842592464806166
[对照] 20-day MAX of Volume,5-day MOM of Price,0.03092679998121062,0.001084475478044863
[对照] 20-day MAX of Volume,20-day MOM of Volume,0.07061312910345685,0.08135370459291756
[对照] 20-day MAX of Volume,5-day SMA of Price,-0.08438565170583123,-0.32422780239347604
[对照] 20-day MAX of Volume,10-day SMA of Volume,0.9475247621220223,0.949566420226565
[对照] 20-day MAX of Volume,10-day SMA of Price,-0.0847620931153247,-0.3259522882544746
[对照] 20-day MAX of Volume,20-day SMA of Price,-0.08570894175979403,-0.330807227263705
[对照] 20-day MAX of Volume,5-day STD of Price,-0.0496731558819498,-0.09444064870225294
[对照] 20-day MAX of Volume,10-day STD of Price,-0.04899092944266946,-0.08579811095855519
[对照] 20-day MAX of Volume,20-day STD of Price,-0.04782852384612814,-0.08115828255716588
[对照] 20-day MAX of Volume,5-day SMA of Volume,0.9249994156035516,0.9267258981144841
[对照] 20-day MAX of Volume,20-day SMA of Volume,0.9604843800098354,0.966288191328739
[对照] 20-day MAX of Volume,5-day STD of Volume,0.8212412402201325,0.8311058295863152
[对照] 20-day MAX of Volume,10-day STD of Volume,0.9046959143539496,0.9102627515792251
[对照] 20-day MAX of Volume,20-day STD of Volume,0.983629039007284,0.989900024517454
[对照] 5-day MAX of Volume,5-day VWAP of Price,-0.07643980775103001,-0.29879402359248664
[对照] 5-day MAX of Volume,20-day MAX of Price,-0.07684809953154549,-0.2930899093949042
[对照] 5-day MAX of Volume,5-day MAX of Price,-0.07565345483585205,-0.2918636861688065
[对照] 5-day MAX of Volume,20-day Momentum of Price,0.16945313109118149,0.1999504394200145
[对照] 5-day MAX of Volume,5-day Simple Moving Average of Volume over 20-day Simple Moving Average of Volume,0.20185895802801015,0.2750742745524644
[对照] 5-day MAX of Volume,5-day MOM of Volume,0.10164611093547647,0.08881842932879011
[对照] 5-day MAX of Volume,20-day MIN of Price,-0.08040774143869014,-0.3301453865582245
[对照] 5-day MAX of Volume,5-day MOM of Price,0.11316541140265214,0.10859007882132533
[对照] 5-day MAX of Volume,20-day MOM of Volume,0.10785565171845718,0.22528735432946828
[对照] 5-day MAX of Volume,5-day SMA of Price,-0.07666886877509482,-0.30113549591406436
[对照] 5-day MAX of Volume,10-day SMA of Volume,0.9461114152970833,0.9573686391415335
[对照] 5-day MAX of Volume,10-day SMA of Price,-0.07764015791845048,-0.30629931228300755
[对照] 5-day MAX of Volume,20-day SMA of Price,-0.07905277825224598,-0.314037419194205
[对照] 5-day MAX of Volume,5-day STD of Price,-0.027949912128761887,-0.021059067058846987
[对照] 5-day MAX of Volume,10-day STD of Price,-0.03247772168485888,-0.04463944368294284
[对照] 5-day MAX of Volume,20-day STD of Price,-0.04126576217131377,-0.09012708578055581
[对照] 5-day MAX of Volume,5-day SMA of Volume,0.9814648049727205,0.9862226447487326
[对照] 5-day MAX of Volume,20-day SMA of Volume,0.9031643668895988,0.9203826113194852
[对照] 5-day MAX of Volume,5-day STD of Volume,0.9516536943696475,0.9580694226449008
[对照] 5-day MAX of Volume,10-day STD of Volume,0.9353822294142792,0.9353727280564285
[对照] 5-day MAX of Volume,20-day STD of Volume,0.8985538906864022,0.8962707197148753
